claim_id,claim_number,policy_id,policy_number,account_id,account_name,claim_type,severity,industry,region,paid_amount,reserve_amount,expense_amount,recovery_amount,adjustment_amount,valuation_date,incurred_amount,current_status,loss_date,reported_date,review_priority,claim_summary
CLM-0001,CLM-10001,POL-014,PN-10014,ACC-007,Global Insurance Account 7,Property Damage,Low,Manufacturing,North America,2874.8,0.0,10877.68,0.0,0.0,2024-12-31,13752.48,Reopened,2024-07-04,2024-07-23,Normal,"As of 2024-12-31, claim CLM-10001 is Reopened with Low severity. The claim has paid amount of 2874.80, reserve amount of 0.00, expense amount of 10877.68, and total incurred amount of 13752.48. Review priority is Normal."
CLM-0002,CLM-10002,POL-001,PN-10001,ACC-009,Global Insurance Account 9,Bodily Injury,Low,Retail,North America,18982.44,5193.96,20114.52,-3934.47,0.0,2024-12-31,44290.92,Open,2024-04-26,2024-05-06,Normal,"As of 2024-12-31, claim CLM-10002 is Open with Low severity. The claim has paid amount of 18982.44, reserve amount of 5193.96, expense amount of 20114.52, and total incurred amount of 44290.92. Review priority is Normal."
CLM-0003,CLM-10003,POL-007,PN-10007,ACC-004,Global Insurance Account 4,Legal Expense,Medium,Retail,North America,0.0,0.0,0.0,-6620.26,0.0,2024-12-31,0.0,Open,2024-05-22,2024-06-06,Normal,"As of 2024-12-31, claim CLM-10003 is Open with Medium severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 0.00, and total incurred amount of 0.00. Review priority is Normal."
CLM-0004,CLM-10004,POL-006,PN-10006,ACC-005,Global Insurance Account 5,Bodily Injury,High,Construction,North America,28774.02,4574.62,0.0,-20222.89,0.0,2024-12-31,33348.64,Reopened,2024-04-17,2024-04-26,High,"As of 2024-12-31, claim CLM-10004 is Reopened with High severity. The claim has paid amount of 28774.02, reserve amount of 4574.62, expense amount of 0.00, and total incurred amount of 33348.64. Review priority is High."
CLM-0005,CLM-10005,POL-003,PN-10003,ACC-010,Global Insurance Account 10,Property Damage,Medium,Financial Services,Europe,1728.49,24233.38,0.0,0.0,0.0,2024-12-31,25961.870000000003,Closed,2024-09-30,2024-10-08,Normal,"As of 2024-12-31, claim CLM-10005 is Closed with Medium severity. The claim has paid amount of 1728.49, reserve amount of 24233.38, expense amount of 0.00, and total incurred amount of 25961.87. Review priority is Normal."
CLM-0006,CLM-10006,POL-005,PN-10005,ACC-007,Global Insurance Account 7,Legal Expense,Low,Manufacturing,North America,0.0,12571.27,0.0,0.0,0.0,2024-12-31,12571.27,Open,2024-10-12,2024-10-20,Normal,"As of 2024-12-31, claim CLM-10006 is Open with Low severity. The claim has paid amount of 0.00, reserve amount of 12571.27, expense amount of 0.00, and total incurred amount of 12571.27. Review priority is Normal."
CLM-0007,CLM-10007,POL-014,PN-10014,ACC-007,Global Insurance Account 7,Medical,Low,Manufacturing,North America,728.23,0.0,21898.75,0.0,24904.36,2024-12-31,47531.34,Closed,2024-01-17,2024-01-28,Normal,"As of 2024-12-31, claim CLM-10007 is Closed with Low severity. The claim has paid amount of 728.23, reserve amount of 0.00, expense amount of 21898.75, and total incurred amount of 47531.34. Review priority is Normal."
CLM-0008,CLM-10008,POL-004,PN-10004,ACC-001,Global Insurance Account 1,Property Damage,Medium,Construction,North America,0.0,0.0,22081.17,0.0,0.0,2024-12-31,22081.17,Reopened,2024-10-17,2024-10-28,Normal,"As of 2024-12-31, claim CLM-10008 is Reopened with Medium severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 22081.17, and total incurred amount of 22081.17. Review priority is Normal."
CLM-0009,CLM-10009,POL-007,PN-10007,ACC-004,Global Insurance Account 4,Legal Expense,Low,Retail,North America,0.0,0.0,4364.8,0.0,0.0,2024-12-31,4364.8,Open,2024-08-22,2024-08-27,Normal,"As of 2024-12-31, claim CLM-10009 is Open with Low severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 4364.80, and total incurred amount of 4364.80. Review priority is Normal."
CLM-0010,CLM-10010,POL-012,PN-10012,ACC-001,Global Insurance Account 1,Legal Expense,High,Construction,North America,0.0,0.0,3328.0,0.0,4308.47,2024-12-31,7636.47,Reopened,2024-10-14,2024-11-01,Normal,"As of 2024-12-31, claim CLM-10010 is Reopened with High severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 3328.00, and total incurred amount of 7636.47. Review priority is Normal."
CLM-0012,CLM-10012,POL-009,PN-10009,ACC-007,Global Insurance Account 7,Bodily Injury,Low,Manufacturing,North America,23653.75,0.0,22525.05,-3622.42,0.0,2024-12-31,46178.8,Open,2024-09-09,2024-09-12,Normal,"As of 2024-12-31, claim CLM-10012 is Open with Low severity. The claim has paid amount of 23653.75, reserve amount of 0.00, expense amount of 22525.05, and total incurred amount of 46178.80. Review priority is Normal."
CLM-0013,CLM-10013,POL-011,PN-10011,ACC-010,Global Insurance Account 10,Auto Damage,Medium,Financial Services,Europe,9165.13,0.0,5646.88,0.0,0.0,2024-12-31,14812.009999999998,Open,2024-03-22,2024-04-05,Normal,"As of 2024-12-31, claim CLM-10013 is Open with Medium severity. The claim has paid amount of 9165.13, reserve amount of 0.00, expense amount of 5646.88, and total incurred amount of 14812.01. Review priority is Normal."
CLM-0014,CLM-10014,POL-007,PN-10007,ACC-004,Global Insurance Account 4,Legal Expense,Low,Retail,North America,0.0,42962.880000000005,0.0,-20154.76,0.0,2024-12-31,42962.880000000005,Reopened,2024-08-27,2024-09-13,Normal,"As of 2024-12-31, claim CLM-10014 is Reopened with Low severity. The claim has paid amount of 0.00, reserve amount of 42962.88, expense amount of 0.00, and total incurred amount of 42962.88. Review priority is Normal."
CLM-0015,CLM-10015,POL-011,PN-10011,ACC-010,Global Insurance Account 10,Legal Expense,Medium,Financial Services,Europe,0.0,19790.68,0.0,-27817.72,0.0,2024-12-31,19790.68,Reopened,2024-02-28,2024-03-17,Normal,"As of 2024-12-31, claim CLM-10015 is Reopened with Medium severity. The claim has paid amount of 0.00, reserve amount of 19790.68, expense amount of 0.00, and total incurred amount of 19790.68. Review priority is Normal."
CLM-0016,CLM-10016,POL-002,PN-10002,ACC-004,Global Insurance Account 4,Property Damage,Low,Retail,North America,24188.78,10262.42,36819.44,0.0,0.0,2024-12-31,71270.64,Closed,2024-05-30,2024-06-13,Normal,"As of 2024-12-31, claim CLM-10016 is Closed with Low severity. The claim has paid amount of 24188.78, reserve amount of 10262.42, expense amount of 36819.44, and total incurred amount of 71270.64. Review priority is Normal."
CLM-0017,CLM-10017,POL-012,PN-10012,ACC-001,Global Insurance Account 1,Property Damage,Low,Construction,North America,25143.3,14724.45,18349.35,0.0,8613.17,2024-12-31,66830.27,Reopened,2024-05-14,2024-05-31,Normal,"As of 2024-12-31, claim CLM-10017 is Reopened with Low severity. The claim has paid amount of 25143.30, reserve amount of 14724.45, expense amount of 18349.35, and total incurred amount of 66830.27. Review priority is Normal."
CLM-0018,CLM-10018,POL-014,PN-10014,ACC-007,Global Insurance Account 7,Auto Damage,Low,Manufacturing,North America,13238.05,0.0,1587.47,-22537.87,24613.78,2024-12-31,39439.3,Open,2024-06-01,2024-06-18,Normal,"As of 2024-12-31, claim CLM-10018 is Open with Low severity. The claim has paid amount of 13238.05, reserve amount of 0.00, expense amount of 1587.47, and total incurred amount of 39439.30. Review priority is Normal."
CLM-0019,CLM-10019,POL-006,PN-10006,ACC-005,Global Insurance Account 5,Auto Damage,High,Construction,North America,18133.98,9423.43,26126.12,0.0,11696.02,2024-12-31,65379.55,Open,2024-03-23,2024-04-10,High,"As of 2024-12-31, claim CLM-10019 is Open with High severity. The claim has paid amount of 18133.98, reserve amount of 9423.43, expense amount of 26126.12, and total incurred amount of 65379.55. Review priority is High."
CLM-0020,CLM-10020,POL-006,PN-10006,ACC-005,Global Insurance Account 5,Bodily Injury,Medium,Construction,North America,0.0,0.0,7529.39,-13924.46,15363.21,2024-12-31,22892.6,Closed,2024-09-07,2024-09-08,Normal,"As of 2024-12-31, claim CLM-10020 is Closed with Medium severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 7529.39, and total incurred amount of 22892.60. Review priority is Normal."
CLM-0021,CLM-10021,POL-004,PN-10004,ACC-001,Global Insurance Account 1,Auto Damage,Low,Construction,North America,0.0,16641.84,0.0,-11332.92,28857.48,2024-12-31,45499.31999999999,Open,2024-01-30,2024-02-07,Normal,"As of 2024-12-31, claim CLM-10021 is Open with Low severity. The claim has paid amount of 0.00, reserve amount of 16641.84, expense amount of 0.00, and total incurred amount of 45499.32. Review priority is Normal."
CLM-0022,CLM-10022,POL-012,PN-10012,ACC-001,Global Insurance Account 1,Auto Damage,Low,Construction,North America,20551.37,28716.6,0.0,0.0,0.0,2024-12-31,49267.97,Open,2024-09-05,2024-09-08,Normal,"As of 2024-12-31, claim CLM-10022 is Open with Low severity. The claim has paid amount of 20551.37, reserve amount of 28716.60, expense amount of 0.00, and total incurred amount of 49267.97. Review priority is Normal."
CLM-0023,CLM-10023,POL-011,PN-10011,ACC-010,Global Insurance Account 10,Property Damage,High,Financial Services,Europe,0.0,20200.69,0.0,0.0,0.0,2024-12-31,20200.69,Closed,2024-08-31,2024-09-18,Normal,"As of 2024-12-31, claim CLM-10023 is Closed with High severity. The claim has paid amount of 0.00, reserve amount of 20200.69, expense amount of 0.00, and total incurred amount of 20200.69. Review priority is Normal."
CLM-0024,CLM-10024,POL-014,PN-10014,ACC-007,Global Insurance Account 7,Auto Damage,High,Manufacturing,North America,11683.31,0.0,0.0,0.0,0.0,2024-12-31,11683.31,Reopened,2024-08-04,2024-08-11,Normal,"As of 2024-12-31, claim CLM-10024 is Reopened with High severity. The claim has paid amount of 11683.31, reserve amount of 0.00, expense amount of 0.00, and total incurred amount of 11683.31. Review priority is Normal."
CLM-0025,CLM-10025,POL-004,PN-10004,ACC-001,Global Insurance Account 1,Legal Expense,High,Construction,North America,0.0,21076.64,0.0,-11526.71,12372.63,2024-12-31,33449.27,Closed,2024-06-08,2024-06-21,High,"As of 2024-12-31, claim CLM-10025 is Closed with High severity. The claim has paid amount of 0.00, reserve amount of 21076.64, expense amount of 0.00, and total incurred amount of 33449.27. Review priority is High."
CLM-0026,CLM-10026,POL-008,PN-10008,ACC-002,Global Insurance Account 2,Property Damage,Medium,Manufacturing,APAC,0.0,7157.02,0.0,-2398.34,2474.15,2024-12-31,9631.17,Open,2024-03-02,2024-03-10,Normal,"As of 2024-12-31, claim CLM-10026 is Open with Medium severity. The claim has paid amount of 0.00, reserve amount of 7157.02, expense amount of 0.00, and total incurred amount of 9631.17. Review priority is Normal."
CLM-0027,CLM-10027,POL-001,PN-10001,ACC-009,Global Insurance Account 9,Auto Damage,Low,Retail,North America,0.0,0.0,0.0,-17501.77,0.0,2024-12-31,0.0,Open,2024-10-10,2024-10-18,Normal,"As of 2024-12-31, claim CLM-10027 is Open with Low severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 0.00, and total incurred amount of 0.00. Review priority is Normal."
CLM-0028,CLM-10028,POL-002,PN-10002,ACC-004,Global Insurance Account 4,Bodily Injury,Medium,Retail,North America,0.0,20905.83,7816.01,-13686.4,33497.86,2024-12-31,62219.7,Open,2024-01-31,2024-02-08,Normal,"As of 2024-12-31, claim CLM-10028 is Open with Medium severity. The claim has paid amount of 0.00, reserve amount of 20905.83, expense amount of 7816.01, and total incurred amount of 62219.70. Review priority is Normal."
CLM-0030,CLM-10030,POL-004,PN-10004,ACC-001,Global Insurance Account 1,Auto Damage,Medium,Construction,North America,0.0,0.0,19150.13,-3824.64,0.0,2024-12-31,19150.13,Reopened,2024-10-03,2024-10-08,Normal,"As of 2024-12-31, claim CLM-10030 is Reopened with Medium severity. The claim has paid amount of 0.00, reserve amount of 0.00, expense amount of 19150.13, and total incurred amount of 19150.13. Review priority is Normal."
